ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
TDRKH	tudor and KH domain containing(TDRKH)	Homo sapiens				GO:0007140~male meiosis,GO:0007283~spermatogenesis,GO:0009566~fertilization,GO:0030154~cell differentiation,GO:0031047~gene silencing by RNA,GO:0034587~piRNA metabolic process,GO:0043046~DNA methylation involved in gamete generation,	GO:0005739~mitochondrion,GO:0016021~integral component of membrane,GO:0071546~pi-body,GO:0071547~piP-body,	GO:0003723~RNA binding,	IPR002999:Tudor domain,IPR004087:K Homology domain,IPR004088:K Homology domain, type 1,				SM00322:KH,SM00333:TUDOR,	3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Differentiation,Isopeptide bond,Membrane,Mitochondrion,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,RNA-binding,RNA-mediated gene silencing,Spermatogenesis,Transmembrane,Transmembrane helix,Ubl conjugation,	chain:Tudor and KH domain-containing protein,domain:KH 1,domain:KH 2,domain:Tudor,helix,sequence conflict,sequence variant,splice variant,
TDRD10	tudor domain containing 10(TDRD10)	Homo sapiens						GO:0000166~nucleotide binding,GO:0003723~RNA binding,	IPR000504:RNA recognition motif domain,IPR002999:Tudor domain,IPR012677:Nucleotide-binding, alpha-beta plait,				SM00360:RRM,	Alternative splicing,Coiled coil,Complete proteome,Polymorphism,Reference proteome,RNA-binding,	chain:Tudor domain-containing protein 10,domain:RRM,domain:Tudor,sequence conflict,sequence variant,splice variant,
TDRD5	tudor domain containing 5(TDRD5)	Homo sapiens				GO:0007286~spermatid development,GO:0030719~P granule organization,GO:0043046~DNA methylation involved in gamete generation,	GO:0033391~chromatoid body,GO:0071546~pi-body,		IPR002999:Tudor domain,IPR025605:OST-HTH/LOTUS domain,				SM00333:TUDOR,	3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Developmental protein,Differentiation,Phosphoprotein,Polymorphism,Reference proteome,Repeat,Spermatogenesis,	chain:Tudor domain-containing protein 5,domain:Tudor,modified residue,sequence conflict,sequence variant,splice variant,
TUFT1	tuftelin 1(TUFT1)	Homo sapiens			Cell division and chromosome partitioning,	GO:0030282~bone mineralization,GO:0035556~intracellular signal transduction,GO:0042476~odontogenesis,	GO:0005576~extracellular region,GO:0005622~intracellular,GO:0005737~cytoplasm,	GO:0005515~protein binding,GO:0030345~structural constituent of tooth enamel,	IPR024846:Tuftelin,					Alternative splicing,Biomineralization,Coiled coil,Complete proteome,Polymorphism,Proteomics identification,Reference proteome,Secreted,	chain:Tuftelin,sequence conflict,sequence variant,splice variant,
TNFSF4	tumor necrosis factor superfamily member 4(TNFSF4)	Homo sapiens		h_ox40Pathway:OX40 Signaling Pathway,		GO:0002215~defense response to nematode,GO:0002526~acute inflammatory response,GO:0002726~positive regulation of T cell cytokine production,GO:0002819~regulation of adaptive immune response,GO:0002830~positive regulation of type 2 immune response,GO:0002891~positive regulation of immunoglobulin mediated immune response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0008203~cholesterol metabolic process,GO:0008284~positive regulation of cell proliferation,GO:0009615~response to virus,GO:0032689~negative regulation of interferon-gamma production,GO:0032700~negative regulation of interleukin-17 production,GO:0032729~positive regulation of interferon-gamma production,GO:0032733~positive regulation of interleukin-10 production,GO:0032735~positive regulation of interleukin-12 production,GO:0032736~positive regulation of interleukin-13 production,GO:0032743~positive regulation of interleukin-2 production,GO:0032753~positive regulation of interleukin-4 production,GO:0032755~positive regulation of interleukin-6 production,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0035709~memory T cell activation,GO:0035712~T-helper 2 cell activation,GO:0035713~response to nitrogen dioxide,GO:0035714~cellular response to nitrogen dioxide,GO:0035783~CD4-positive, alpha-beta T cell costimulation,GO:0042098~T cell proliferation,GO:0042102~positive regulation of T cell proliferation,GO:0042104~positive regulation of activated T cell proliferation,GO:0043372~positive regulation of CD4-positive, alpha-beta T cell differentiation,GO:0043382~positive regulation of memory T cell differentiation,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0045590~negative regulation of regulatory T cell differentiation,GO:0045626~negative regulation of T-helper 1 cell differentiation,GO:0045630~positive regulation of T-helper 2 cell differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0046641~positive regulation of alpha-beta T cell proliferation,GO:0050710~negative regulation of cytokine secretion,GO:0050727~regulation of inflammatory response,GO:0050729~positive regulation of inflammatory response,GO:0050871~positive regulation of B cell activation,GO:0051024~positive regulation of immunoglobulin secretion,GO:0071222~cellular response to lipopolysaccharide,GO:0071380~cellular response to prostaglandin E stimulus,GO:0071954~chemokine (C-C motif) ligand 11 production,GO:1900281~positive regulation of CD4-positive, alpha-beta T cell costimulation,GO:2000568~positive regulation of memory T cell activation,GO:2000570~positive regulation of T-helper 2 cell activation,GO:2000572~positive regulation of interleukin-4-dependent isotype switching to IgE isotypes,	GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,	GO:0005102~receptor binding,GO:0005125~cytokine activity,GO:0005164~tumor necrosis factor receptor binding,GO:0032813~tumor necrosis factor receptor superfamily binding,	IPR006052:Tumour necrosis factor,IPR008983:Tumour necrosis factor-like domain,IPR021184:Tumour necrosis factor, conserved site,	hsa04060:Cytokine-cytokine receptor interaction,	608446~Myocardial infarction, susceptibility to,		SM00207:TNF,	3D-structure,Alternative splicing,Complete proteome,Cytokine,Disulfide bond,Glycoprotein,Membrane,Reference proteome,Signal-anchor,Systemic lupus erythematosus,Transmembrane,Transmembrane helix,	chain:Tumor necrosis factor ligand superfamily member 4,disulfide bond,glycosylation site:N-linked (GlcNAc...),strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
TP53BP2	tumor protein p53 binding protein 2(TP53BP2)	Homo sapiens				GO:0007049~cell cycle,GO:0007165~signal transduction,GO:0042981~regulation of apoptotic process,GO:0045786~negative regulation of cell cycle,GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator,GO:1900119~positive regulation of execution phase of apoptosis,GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,GO:1901216~positive regulation of neuron death,GO:1901796~regulation of signal transduction by p53 class mediator,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0048471~perinuclear region of cytoplasm,	GO:0002039~p53 binding,GO:0005070~SH3/SH2 adaptor activity,GO:0005515~protein binding,GO:0017124~SH3 domain binding,GO:0042802~identical protein binding,GO:0051059~NF-kappaB binding,	IPR001452:Src homology-3 domain,IPR002110:Ankyrin repeat,IPR013315:Spectrin alpha chain, SH3 domain,IPR020683:Ankyrin repeat-containing domain,	hsa04390:Hippo signaling pathway,			SM00248:ANK,SM00326:SH3,	3D-structure,Alternative splicing,ANK repeat,Apoptosis,Cell cycle,Coiled coil,Complete proteome,Cytoplasm,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,SH3 domain,SH3-binding,	chain:Apoptosis-stimulating of p53 protein 2,compositionally biased region:Gln-rich,compositionally biased region:Pro-rich,domain:SH3,helix,modified residue,mutagenesis site,region of interest:Interaction with APPBP1,region of interest:Mediates interaction with APC2,repeat:ANK 1,repeat:ANK 2,short sequence motif:SH3-binding,splice variant,strand,turn,
TP53I3	tumor protein p53 inducible protein 3(TP53I3)	Homo sapiens				GO:0006739~NADP metabolic process,GO:0042981~regulation of apoptotic process,GO:0055114~oxidation-reduction process,	GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003960~NADPH:quinone reductase activity,GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity,GO:0042803~protein homodimerization activity,GO:0048038~quinone binding,GO:0070402~NADPH binding,	IPR002085:Alcohol dehydrogenase superfamily, zinc-type,IPR011032:GroES-like,IPR013149:Alcohol dehydrogenase, C-terminal,IPR013154:Alcohol dehydrogenase GroES-like,IPR014189:Quinone oxidoreductase PIG3,IPR016040:NAD(P)-binding domain,IPR020843:Polyketide synthase, enoylreductase,	hsa04115:p53 signaling pathway,			SM00829:SM00829,	3D-structure,Acetylation,Alternative splicing,Complete proteome,Direct protein sequencing,NADP,Oxidoreductase,Polymorphism,Proteomics identification,Reference proteome,	binding site:NADP,chain:Quinone oxidoreductase PIG3,helix,modified residue,mutagenesis site,nucleotide phosphate-binding region:NADP,sequence conflict,sequence variant,splice variant,strand,turn,
TP73	tumor protein p73(TP73)	Homo sapiens		h_atmPathway:ATM Signaling Pathway,		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000187~activation of MAPK activity,GO:0001822~kidney development,GO:0006298~mismatch repair,GO:0006351~transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006915~apoptotic process,GO:0006974~cellular response to DNA damage stimulus,GO:0006978~DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,GO:0007050~cell cycle arrest,GO:0007346~regulation of mitotic cell cycle,GO:0008285~negative regulation of cell proliferation,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0010165~response to X-ray,GO:0010243~response to organonitrogen compound,GO:0010332~response to gamma radiation,GO:0010468~regulation of gene expression,GO:0016032~viral process,GO:0031571~mitotic G1 DNA damage checkpoint,GO:0034644~cellular response to UV,GO:0042493~response to drug,GO:0042771~intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:0042981~regulation of apoptotic process,GO:0043065~positive regulation of apoptotic process,GO:0043508~negative regulation of JUN kinase activity,GO:0043524~negative regulation of neuron apoptotic process,GO:0045665~negative regulation of neuron differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048714~positive regulation of oligodendrocyte differentiation,GO:0051262~protein tetramerization,GO:0060044~negative regulation of cardiac muscle cell proliferation,GO:0071158~positive regulation of cell cycle arrest,GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,GO:1901796~regulation of signal transduction by p53 class mediator,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0030054~cell junction,GO:0043231~intracellular membrane-bounded organelle,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0002039~p53 binding,GO:0003682~chromatin binding,GO:0003684~damaged DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0019901~protein kinase binding,GO:0042802~identical protein binding,GO:0043565~sequence-specific DNA binding,GO:0044212~transcription regulatory region DNA binding,GO:0046872~metal ion binding,	IPR001660:Sterile alpha motif domain,IPR002117:p53 tumour suppressor family,IPR008967:p53-like transcription factor, DNA-binding,IPR010991:p53, tetramerisation domain,IPR011615:p53, DNA-binding domain,IPR012346:p53/RUNT-type transcription factor, DNA-binding domain,IPR013761:Sterile alpha motif/pointed domain,	hsa04115:p53 signaling pathway,hsa04390:Hippo signaling pathway,hsa04722:Neurotrophin signaling pathway,hsa05162:Measles,	Neuroblastoma~Neuroblastoma,		SM00454:SAM,	3D-structure,Activator,Alternative promoter usage,Alternative splicing,Apoptosis,Cell cycle,Complete proteome,Cytoplasm,DNA-binding,Host-virus interaction,Isopeptide bond,Metal-binding,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Transcription,Transcription regulation,Tumor suppressor,Ubl conjugation,Zinc,	chain:Tumor protein p73,compositionally biased region:Asp/Glu-rich (acidic),compositionally biased region:Poly-Gln,compositionally biased region:Poly-Pro,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO); in isoform Alpha,domain:SAM,helix,metal ion-binding site:Zinc,modified residue,mutagenesis site,region of interest:DNA-binding,region of interest:Interaction with HIPK2,region of interest:Oligomerization,region of interest:Transactivation,short sequence motif:WW-binding,splice variant,turn,
TSSC1	tumor suppressing subtransferable candidate 1(TSSC1)	Homo sapiens							IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,IPR019775:WD40 repeat, conserved site,				SM00320:WD40,	Acetylation,Complete proteome,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,WD repeat,	chain:Protein TSSC1,modified residue,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,sequence conflict,
TUSC2	tumor suppressor candidate 2(TUSC2)	Homo sapiens				GO:0001779~natural killer cell differentiation,GO:0006909~phagocytosis,GO:0006954~inflammatory response,GO:0007049~cell cycle,GO:0007267~cell-cell signaling,GO:0008283~cell proliferation,GO:0032618~interleukin-15 production,GO:0032700~negative regulation of interleukin-17 production,GO:0032733~positive regulation of interleukin-10 production,GO:0048469~cell maturation,GO:0051881~regulation of mitochondrial membrane potential,GO:0052567~response to defense-related host reactive oxygen species production,GO:0070945~neutrophil mediated killing of gram-negative bacterium,GO:0071609~chemokine (C-C motif) ligand 5 production,GO:2000377~regulation of reactive oxygen species metabolic process,	GO:0005739~mitochondrion,	GO:0005515~protein binding,						Cell cycle,Complete proteome,Lipoprotein,Myristate,Phosphoprotein,Proteomics identification,Reference proteome,Tumor suppressor,	chain:Tumor suppressor candidate 2,lipid moiety-binding region:N-myristoyl glycine,modified residue,
TACSTD2	tumor-associated calcium signal transducer 2(TACSTD2)	Homo sapiens				GO:0007166~cell surface receptor signaling pathway,GO:0007601~visual perception,GO:0008283~cell proliferation,GO:0010633~negative regulation of epithelial cell migration,GO:0050678~regulation of epithelial cell proliferation,GO:0051497~negative regulation of stress fiber assembly,GO:0060675~ureteric bud morphogenesis,GO:0090191~negative regulation of branching involved in ureteric bud morphogenesis,GO:0098609~cell-cell adhesion,GO:1900025~negative regulation of substrate adhesion-dependent cell spreading,GO:1900028~negative regulation of ruffle assembly,GO:2000146~negative regulation of cell motility,GO:2000738~positive regulation of stem cell differentiation,	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005829~cytosol,GO:0005887~integral component of plasma membrane,GO:0009925~basal plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016328~lateral plasma membrane,GO:0070062~extracellular exosome,	GO:0004872~receptor activity,GO:0005515~protein binding,	IPR000716:Thyroglobulin type-1,		204870~Corneal dystrophy, gelatinous drop-like,		SM00211:TY,	3D-structure,Amyloid,Amyloidosis,Complete proteome,Corneal dystrophy,Disulfide bond,Glycoprotein,Membrane,Polymorphism,Reference proteome,Sensory transduction,Signal,Transmembrane,Transmembrane helix,Tumor antigen,Vision,	chain:Tumor-associated calcium signal transducer 2,disulfide bond,domain:Thyroglobulin type-1,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
TWF2	twinfilin actin binding protein 2(TWF2)	Homo sapiens				GO:0010592~positive regulation of lamellipodium assembly,GO:0010976~positive regulation of neuron projection development,GO:0030030~cell projection organization,GO:0030837~negative regulation of actin filament polymerization,GO:0032532~regulation of microvillus length,GO:0032956~regulation of actin cytoskeleton organization,GO:0042989~sequestering of actin monomers,GO:0045773~positive regulation of axon extension,GO:0051016~barbed-end actin filament capping,GO:0071300~cellular response to retinoic acid,GO:0071363~cellular response to growth factor stimulus,GO:0098609~cell-cell adhesion,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0005913~cell-cell adherens junction,GO:0030016~myofibril,GO:0030027~lamellipodium,GO:0030175~filopodium,GO:0030426~growth cone,GO:0032420~stereocilium,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0003785~actin monomer binding,GO:0005080~protein kinase C binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0005546~phosphatidylinositol-4,5-bisphosphate binding,GO:0044822~poly(A) RNA binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR002108:Actin-binding, cofilin/tropomyosin type,				SM00102:ADF,	3D-structure,Acetylation,Actin-binding,Cell projection,Cilium biogenesis/degradation,Complete proteome,Cytoplasm,Cytoskeleton,Direct protein sequencing,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Twinfilin-2,domain:ADF-H 1,domain:ADF-H 2,helix,modified residue,sequence conflict,sequence variant,strand,
